curriculum,curid,sylid,subjectCode,materialDescription,author,publisher,publishedDate,edition,isbn,isMain,isHardCopy,isOnline,note
BBA_IB_K19D20A,2446,13151,OTP101,Introductory documents aout FPT Group and FPT University,,,,,,,,,
BBA_IB_K19D20A,2446,13151,OTP101,"""H?i ký: T? nhân dân mà ra""",,,,,,,,,
BBA_IB_K19D20A,2446,13151,OTP101,"""H?i ký: Nh?ng di?u d?ng l?i qua hai cu?c chi?n tranh""",,,,,,,,,
BBA_IB_K19D20A,2446,13151,OTP101,"""H?i ký: T?ng hành dinh""",,,,,,,,,
BBA_IB_K19D20A,2446,13540,VOV114,Giáo trình V? sinh th? d?c th? thao,,"NXB TTTT, Hà N?i (2020)",,,,,,,
BBA_IB_K19D20A,2446,13540,VOV114,Lý lu?n và phuong pháp GDTC,,"NXB TTTT, Hà N?i (2020)",,,,,,,
BBA_IB_K19D20A,2446,13540,VOV114,Lý lu?n và phuong pháp hu?n luy?n th? thao,,"NXB TTTT, Hà N?i (2017)",,,,,,,
BBA_IB_K19D20A,2446,13540,VOV114,Sách K? thu?t Vovinam-Vi?t Võ Ð?o t?p 1,,"NXB TDTT, HN (2008)",,,,,,,
BBA_IB_K19D20A,2446,13540,VOV114,Sách th?c võ d?o Vovinam,,Tài li?u n?i b? Vovinam,,,,,,,
BBA_IB_K19D20A,2446,11834,DTR103,"Sách h?c Ðàn Tranh ""Sa´ch h?c Ða`n Tranh""",Tác gi?: Bích Vu?ng- Ðinh Th? N?iAuthors: Bich Vuong - Dinh Thi Noi,H?c viên Âm nh?c qu?c gia VNVietnam National Academy of Music,N/A,,,,,,
BBA_IB_K19D20A,2446,11834,DTR103,Bài t?p luy?n k? thu?t dàn Tranh Exercises to practice techniques of Dan Tranh,,,,,,,,,
BBA_IB_K19D20A,2446,11834,DTR103,Danh m?c các bài nh?c có th? s? d?ng trong h?c ph?n: 1.Tam pháp nh?p môn- Nh?c c? mi?n Nam 2. Xuân phong- Long h?- Nhã nh?c cung dình Hu? 3. Lý cây bông- Dân ca Nam B? 4. Lý cây da- Dân ca quan h? B?c Ninh 5. Lý kéo chài- Dân ca Nam B? 6. Ðang dàn cung- Nhã nh?c cung dình Hu? 7. Qua c?u gió bay- Dân ca quan h? B?c Ninh 8. Th?ng Cu?i- Lê Thuong 9. Ohnara- Ost phim Deajangum 10. Gi?c mo trua-Giáng Son 11. Nh?t kí c?a m?- Nguy?n Van Chung 12. Ð?i hoa m?t tr?i-Nguy?n Van Chung 13. Con bu?m Xuân-nh?c Hoa 14. Ð?i Ngu-nh?c Hoa 15. Yume To Hazakura- nh?c Nh?t 16. Fly away- Debelah Morgan 17. Y?n vô hi?t- Nh?c Hoa 18. Jingle Bells- James Pierpoint 19. Happy birthday- Nh?c qu?c t? 20.Fly away- Nh?c qu?c t? 21. Hào khí Vi?t Nam (Holy Th?ng) 22. G?p m? trong mo- Nh?c Hoa,,,,,,,,,
BBA_IB_K19D20A,2446,13497,ECO111,Principles of Economics,"Mankiw, N. G.",South-Western CENGAGE Learning,2011,6th,978-0-538-45342-4,,,,
BBA_IB_K19D20A,2446,13497,ECO111,Principles of Economics (International Edition),"Mankiw, N. G.",South-Western CENGAGE Learning,2018,8th,978-1-305-58512-6,,,,
BBA_IB_K19D20A,2446,13497,ECO111,Principles of Microeconomics (International Edition),"Mankiw, N. G.",South-Western Cengage Learning,2009,5th edition,,,,,https://openlibrary.org/books/OL23174415M/Principles_of_microeconomics
BBA_IB_K19D20A,2446,13497,ECO111,AE Principles of Economics,N. Gregory Mankiw,Cengage,2020,9th,ISBN-13: 9789814915342 | ISBN-10: 9814915343,,,,Ch?n m?t trong 3 quy?n. N?u mua uu tiên mua ?n b?n m?i nh?t
BBA_IB_K19D20A,2446,13252,ENM302,Business Partner B1+,"M O'Keefe, Lewis Lansford et al.",Pearson,2021,,9781292248561,,,,
BBA_IB_K19D20A,2446,13252,ENM302,Business Partner B2,Iwonna DubickaMarjorie RosenbergBob DignenMike HoganLizzie Wright,Pearson,2021,,9781292248585,,,,
BBA_IB_K19D20A,2446,13252,ENM302,Learn English British council: https://learnenglish.britishcouncil.org/business-english,,,,,,,,,
BBA_IB_K19D20A,2446,13252,ENM302,Market Leader level Intermediate,David Cotton et al,Pearson.,2012,,9781408236956,,,,
BBA_IB_K19D20A,2446,13252,ENM302,MyEnglishLab,,,,,,,,,
BBA_IB_K19D20A,2446,13252,ENM302,Prompt Engineering for ChatGPT,Prompt Engineering for ChatGPT by Vanderbilt | Coursera,Coursera,,,,,,,
BBA_IB_K19D20A,2446,14193,MGT103,AE Fundamentals of Management Ricky,Ricky Griffin,Cengage,2021,10th,,,,,Ch?n 1 trong 2 ?n b?n. Uu tiên mua ?n b?n m?i nh?t
BBA_IB_K19D20A,2446,14193,MGT103,Fundamentals of Management,Ricky W.Griffin,Cengage,2019,9th,,,,,
BBA_IB_K19D20A,2446,14193,MGT103,Essentials of Management,Adrew.J. DuBrin,Cengage,2011,9th,,,,,
BBA_IB_K19D20A,2446,14193,MGT103,Coursera course Ethics of Artificial Intelligence https://www.coursera.org/learn/ethics-of-artificial-intelligence,,Coursera,,,,,,,
BBA_IB_K19D20A,2446,13458,MKT101,Principles of Marketing,"Kotler, Philip and Armstrong, Gary",Pearson,2020,18th Edition,,,,,
BBA_IB_K19D20A,2446,13458,MKT101,Principles of Marketing: A global perspective,"Kotler, Philip and Armstrong, Gary",Pearson,2009,,,,,,
BBA_IB_K19D20A,2446,13458,MKT101,Principles of Marketing,Philip Kotler and Gary Armstrong,Prentice Hall,2012,14th ed,,,,,
BBA_IB_K19D20A,2446,13458,MKT101,Principles of Marketing,"Kotler, Philip and Armstrong, Sridhar Balasubramanian",Pearson,2023,GE 19th,9781292449364,,,,Ch?n m?t trong 4 ?n b?n. Uu tiên mua ?n b?n m?i nh?t.
BBA_IB_K19D20A,2446,13458,MKT101,https://www.coursera.org/learn/generative-ai-prompt-engineering-for-everyone,,,,,,,,,
BBA_IB_K19D20A,2446,13458,MKT101,https://www.coursera.org/projects/prompt-engineering-generative-ai-for-marketing-advertising,,,,,,,,,
BBA_IB_K19D20A,2446,13539,VOV124,Giáo trình V? sinh th? d?c th? thao,,"NXB TTTT, Hà N?i (2020)",,,,,,,
BBA_IB_K19D20A,2446,13539,VOV124,Lý lu?n và phuong pháp GDTC,,"NXB TTTT, Hà N?i (2020)",,,,,,,
BBA_IB_K19D20A,2446,13539,VOV124,Lý lu?n và phuong pháp hu?n luy?n th? thao,,"NXB TTTT, Hà N?i (2017)",,,,,,,
BBA_IB_K19D20A,2446,13539,VOV124,Sách K? thu?t Vovinam-Vi?t Võ Ð?o t?p 1,,"NXB TDTT, HN (2008)",,,,,,,
BBA_IB_K19D20A,2446,13539,VOV124,Sách th?c võ d?o Vovinam,,Tài li?u n?i b? Vovinam,,,,,,,
BBA_IB_K19D20A,2446,12594,SSL101c,https://www.coursera.org/specializations/academic-skills,,Coursera,,,,,,,SPEC: Academic Skills for University Success Specialization
BBA_IB_K19D20A,2446,12594,SSL101c,https://www.coursera.org/learn/digital-literacy,,Coursera,,,,,,,MOOC 01: Introduction to Information & Digital Literacy for University Success
BBA_IB_K19D20A,2446,12594,SSL101c,https://www.coursera.org/learn/problem-solving-skills,,Coursera,,,,,,,MOOC 02: Introduction to Problem-Solving Skill for University Success
BBA_IB_K19D20A,2446,12594,SSL101c,https://www.coursera.org/learn/critical-thinking-skills,,Coursera,,,,,,,MOOC 03: Critical Thinking Skills for University Success
BBA_IB_K19D20A,2446,12594,SSL101c,https://www.coursera.org/learn/communication-skills,,Coursera,,,,,,,MOOC 04: Communication Skills for University Success
BBA_IB_K19D20A,2446,12594,SSL101c,https://www.coursera.org/learn/academic-skills-project,,Coursera,,,,,,,MOOC 05: Academic Skills for University Success: Capstone
BBA_IB_K19D20A,2446,12594,SSL101c,Coursera - FPT University Private Authored Courses: SSL101c - How To Avoid Plagiarism with Digital Tools (Guided Project),,,,,,,,,Optional Practice
BBA_IB_K19D20A,2446,14030,ACC101,AI foundations for everyone https://www.coursera.org/specializations/ai-foundations-for-everyone#courses,,Coursera,,,,,,,
BBA_IB_K19D20A,2446,14030,ACC101,AI Fundamentals https://www.coursera.org/learn/google-ai-fundamentals,,Coursera,,,,,,,
BBA_IB_K19D20A,2446,14030,ACC101,Ethics of Artificial Intelligence https://www.coursera.org/learn/ethics-of-artificial-intelligence,,Coursera,,,,,,,
BBA_IB_K19D20A,2446,14030,ACC101,Fundamental accounting principles,"John J. Wild, Winston Kwok, Sundar Venkatesh",McGraw Hill,,3rd,9789814923378,,,,Ch?n m?t trong ba sách. Uu tiên ?n b?n m?i nh?t.
BBA_IB_K19D20A,2446,14030,ACC101,Fundamental accounting principles,"Wild, Larson, Chiappetta",Mc Graw-Hill,2013,,,,,,
BBA_IB_K19D20A,2446,14030,ACC101,Principles of Accounting,"Wild, Shaw, & Chiappetta",McGraw Hill,2009,,,,,,
BBA_IB_K19D20A,2446,13599,ECO121,Principles of Economics (International Edition),"Mankiw, N. G.",South-Western CENGAGE Learning,2012,6th,978-0-538-45342-4,,,,
BBA_IB_K19D20A,2446,13599,ECO121,"For instructors: CD with solutions, PPT, Test Bank",,,,,,,,,
BBA_IB_K19D20A,2446,13599,ECO121,Principles of Economics (International Edition),"Mankiw, N. G.",South-Western CENGAGE Learning,2018,8th,ISBN13 978-1-305-58512-6,,,,
BBA_IB_K19D20A,2446,13599,ECO121,Principles of Microeconomics (International Edition),"Mankiw, N. G.",South-Western Cengage Learning,2009,5th,,,,,https://openlibrary.org/books/OL23174415M/Principles_of_microeconomics
BBA_IB_K19D20A,2446,13599,ECO121,AE Principles of Economics,N. Gregory Mankiw,Cengage,2020,9th,ISBN-13: 9789814915342 | ISBN-10: 9814915343,,,,Ch?n m?t trong 3 quy?n. N?u mua uu tiên mua version m?i nh?t
BBA_IB_K19D20A,2446,12226,ENM402,Business Partner B2+,Iwonna DubickaMarjorie RosenbergBob DignenMike HoganLizzie WrightwithMargaret O'KeeffeLewis LansfordRos Wright,Pearson.,2018,,3868948139,,,,
BBA_IB_K19D20A,2446,12226,ENM402,Business Partner B2,,,,,,,,,
BBA_IB_K19D20A,2446,12226,ENM402,For students:,,,,,,,,,
BBA_IB_K19D20A,2446,12226,ENM402,1) ST: Student’s Book,,,,,,,,,
BBA_IB_K19D20A,2446,12226,ENM402,For Teacher:,,,,,,,,,
BBA_IB_K19D20A,2446,12226,ENM402,1) Student’s Book,,,,,,,,,
BBA_IB_K19D20A,2446,12226,ENM402,2) MyEnglishLab + Teacher's Resource,,,,,,,,,
BBA_IB_K19D20A,2446,12226,ENM402,3) Presentation Tool,,,,,,,,,
BBA_IB_K19D20A,2446,12226,ENM402,Market Leader level Upper Intermediate,,Pearson.,,,,,,,
BBA_IB_K19D20A,2446,14195,OBE102c,https://www.coursera.org/specializations/hr-management-leadership,,Coursera,,,,,,,Spec: Leading: Human Resource Management and Leadership Specialization
BBA_IB_K19D20A,2446,14195,OBE102c,https://www.coursera.org/learn/visionary-leadership-meaning-maker,,Coursera,,,,,,,"MOOC 4: Visionary leadership, identity & motivation: Become a meaning maker"
BBA_IB_K19D20A,2446,14195,OBE102c,https://www.coursera.org/learn/leadership-adapt-your-style,,Coursera,,,,,,,MOOC 3: Adapt your leadership style
BBA_IB_K19D20A,2446,14195,OBE102c,https://www.coursera.org/learn/organisational-behaviour-know-your-people,,Coursera,,,,,,,MOOC 2: Organisational behaviour: Know your people
BBA_IB_K19D20A,2446,14195,OBE102c,https://www.coursera.org/learn/organisational-design-know-your-organisation,,Coursera,,,,,,,MOOC 1: Organisational design: Know your organisation
BBA_IB_K19D20A,2446,14195,OBE102c,https://www.coursera.org/learn/ethics-of-artificial-intelligence,,Coursera,,,,,,,Coursera course Ethics of Artificial Intelligence
BBA_IB_K19D20A,2446,13537,VOV134,Giáo trình V? sinh th? d?c th? thao,,"NXB TTTT, Hà N?i (2020)",,,,,,,
BBA_IB_K19D20A,2446,13537,VOV134,Lý lu?n và phuong pháp GDTC,,"NXB TTTT, Hà N?i (2020)",,,,,,,
BBA_IB_K19D20A,2446,13537,VOV134,Lý lu?n và phuong pháp hu?n luy?n th? thao,,"NXB TTTT, Hà N?i (2017)",,,,,,,
BBA_IB_K19D20A,2446,13537,VOV134,Sách K? thu?t Vovinam-Vi?t Võ Ð?o t?p 1,,"NXB TDTT, HN (2008)",,,,,,,
BBA_IB_K19D20A,2446,13537,VOV134,Sách th?c võ d?o Vovinam - Vi?t Võ Ð?o ph?n co b?n,,Tài li?u n?i b? Vovinam,,,,,,,
BBA_IB_K19D20A,2446,11845,SSG104,Problem Solving in Teams and Groups,Cameron W. Piercy,University of Kansas Libraries,2019,,,,,,https://open.umn.edu/opentextbooks/textbooks/problem-solving-in-teams-and-groups
BBA_IB_K19D20A,2446,11845,SSG104,College Success,N/A,Lumen Learning courseware,,,,,,,https://courses.lumenlearning.com/lumencollegesuccessxtraining2/ or https://courses.lumenlearning.com/lumencollegesuccessxtraining/
BBA_IB_K19D20A,2446,11845,SSG104,Business communication for success,N/A,University of Minnesota i,2015,2th,,,,,https://www.oercommons.org/courses/basics-of-written-business-communication/view
BBA_IB_K19D20A,2446,11845,SSG104,Working in group 7th ed.,,Pearson,2017,,,,,,
BBA_IB_K19D20A,2446,11845,SSG104,Business communication 7th ed.,,Thomson-South Western,2008,,,,,,
BBA_IB_K19D20A,2446,11845,SSG104,PowerPoint Slides,,,,,,,,,
BBA_IB_K19D20A,2446,13709,ECO201,International Economics: Theory and Policy,"Paul R. Krugman, Maurice Obstfeld, Marc Melitz",Pearson,2017,11th Edition,978-0134519579,,,,
BBA_IB_K19D20A,2446,13709,ECO201,"Exchange Rates and International Finance,",Copeland L.,,2014,6th edition,9780273786047,,,,
BBA_IB_K19D20A,2446,13709,ECO201,Websites: http://www.trungtamwto.vn/ http://chongbanphagia.vn/ http://www.tbtvn.org/ http://www.wto.org/ http://www.asean.org/ http://unctad.org/ http://europa.eu/,,,,,,,,,
BBA_IB_K19D20A,2446,13709,ECO201,"International Trade: Theory and Policy, Global Edition","Paul R. Krugman, Maurice Obstfeld, Marc Melitz",Pearson,2022,"Global Edition, 12th",9781292417233,,,,Ch?n m?t trong 2 ?n b?n. Uu tiên mua ?n b?n m?i nh?t
BBA_IB_K19D20A,2446,14056,FIN202,Coursera - FPT University Private Authored Courses: How to use financial ratios to evaluate firm’s performance by Excel,,,2022,1st,,,,,
BBA_IB_K19D20A,2446,14056,FIN202,Fundamentals of Corporate Finance,"Robert Parrino, Thomas Bates, Stuart L. Gillan, David S. Kidwell",Wiley,2022,"5th, International Adaptation",ISBN: 978-1-119-79544-5,,,,Wiley - Vital Source
BBA_IB_K19D20A,2446,14056,FIN202,Fundamentals of Corporate Finance,"Robert Parrino, David KidWell",John Wiley,2012,2nd,,,,,
BBA_IB_K19D20A,2446,14056,FIN202,Fundamentals of Corporate Finance,"Robert Parrino, David KidWell",John Wiley,2009,,,,,,
BBA_IB_K19D20A,2446,14056,FIN202,"Fundamentals of Corporate Finance, Asian Edition","Robert Parrino, David KidWell",John Wiley,2019,"Asian Edition, 4th",9.7811195866e+12,,,,
BBA_IB_K19D20A,2446,13032,HRM202c,https://www.coursera.org/professional-certificates/hrci-human-resource-associate#courses,,Coursera,,,,,,,Spec: HRIC Human Resource Associate Professional Certificate
BBA_IB_K19D20A,2446,13032,HRM202c,https://www.coursera.org/learn/talent-acquisition?specialization=hrci-human-resource-associate,,Coursera,,,,,,,Course 1: Talent Acquisition
BBA_IB_K19D20A,2446,13032,HRM202c,https://www.coursera.org/learn/learning-and-development?specialization=hrci-human-resource-associate,,Coursera,,,,,,,Course 2: Learning and Development
BBA_IB_K19D20A,2446,13032,HRM202c,https://www.coursera.org/learn/compensation-and-benefits?specialization=hrci-human-resource-associate,,Coursera,,,,,,,Course 3: Compensation and Benefits
BBA_IB_K19D20A,2446,13032,HRM202c,https://www.coursera.org/learn/employee-relations?specialization=hrci-human-resource-associate,,Coursera,,,,,,,Course 4: Employee Relations
BBA_IB_K19D20A,2446,13032,HRM202c,https://www.coursera.org/learn/compliance-and-risk-management?specialization=hrci-human-resource-associate,,Coursera,,,,,,,Course 5: Compliance and Risk Management
BBA_IB_K19D20A,2446,13036,IBC201,"International Management: Culture, Strategy, and Behavior",Fred Luthans and Jonathan Doh,McGraw-Hill Education,2020,11th,9781260570533,,,,
BBA_IB_K19D20A,2446,13036,IBC201,Negotiations,"Roy J. Lewicki, Bruce Barry, and David M. Saunders",McGraw-Hill Education,2010,6th,73381209,,,,
BBA_IB_K19D20A,2446,13036,IBC201,ISE Negotiation,"Roy J. Lewicki, Bruce Barry, David M. Saunders",McGraw-Hill Education,2019,8th,9781260565591,,,,Ch?n m?t trong 2 quy?n Negociation. Uu tiên mua ?n b?n m?i nh?t
BBA_IB_K19D20A,2446,13459,IBI101,International Business - Competing in the Global Marketplace Global,Charles W. L. Hill,McGraw-Hill,2022,14th,,,,,
BBA_IB_K19D20A,2446,13459,IBI101,https://www.coursera.org/learn/ai-for-everyone,,Coursera,,,,,,,
BBA_IB_K19D20A,2446,13459,IBI101,https://www.coursera.org/learn/introduction-to-ai,,Coursera,,,,,,,
BBA_IB_K19D20A,2446,13459,IBI101,https://www.coursera.org/specializations/ai-foundations-for-everyone,,Coursera,,,,,,,
BBA_IB_K19D20A,2446,13820,CHN113,Giáo trình chu?n HSK1 (sách bài h?c) + file nghe (sách bài h?c) ????HSK1,1. Ch? biên: Khuong L? Bình2. Biên so?n:Vuong PhuongVuong PhongLuu L? Bình,Nhà xu?t b?n T?ng h?pThành ph? H? Chí Minh,Quý 1/2023,,978-604-377-566-2,,,,
BBA_IB_K19D20A,2446,13820,CHN113,Giáo trình chu?n HSK1 (sách bài t?p) + file nghe (sách bài t?p)????HSK1 - ???,1. Ch? biên: Khuong L? Bình2. Biên so?n:Vuong PhuongVuong PhongLuu L? Bình,Nhà xu?t b?n T?ng h?p Thành ph? H? Chí Minh,Quý 3/2022,,978-604-377-221-0,,,,
BBA_IB_K19D20A,2446,13820,CHN113,360 câu dàm tho?i ti?ng Trung Qu?c - t?p 1??????360? (1),1. Ch? biên: Mao Duy?t2. Biên so?n:Vuong HiênVuong Di?mTruong Viên Viên,Nhà xu?t b?n T?ng h?p Thành ph? H? Chí Minh,Quý 3/2020,,978-604-58-4796-1,,,,
BBA_IB_K19D20A,2446,12817,IBF301,International Financial Management,Cheol S. Eun and Bruce G. Resnick,McGraw-hill/Irwin,2020,9th,9781260013870,,,,
BBA_IB_K19D20A,2446,12817,IBF301,PowerPoint Slides,,,,,,,,,
BBA_IB_K19D20A,2446,12817,IBF301,Instructor's Resource Manual,,,,,,,,,
BBA_IB_K19D20A,2446,12817,IBF301,Test bank (Test gen and Doc. file),,,,,,,,,
BBA_IB_K19D20A,2446,12817,IBF301,International Financial Management,Jeff Madura,Cengage Learning,2018,13th,,,,,
BBA_IB_K19D20A,2446,12817,IBF301,"The Economist, Financial Times, Global Finance, etc",Suggested link: (1) The Economist: https://www.economist.com (2) Financial Times: https://www.ft.com/ (3) Global Finance: https://www.gfmag.com/,,,,,,,,
BBA_IB_K19D20A,2446,12817,IBF301,International Financial Management,Cheol S. Eun and Bruce G. Resnick,McGraw-hill/Irwin,2018,8th,,,,,
BBA_IB_K19D20A,2446,12817,IBF301,ISE International Financial Management,Cheol S. Eun and Bruce G. Resnick,Mc Grawhill,2020,9th,ISBN: 9781260575316,,,,Ch?n m?t trong 3 ?n b?n. Uu tiên mua ?n b?n m?i nh?t.
BBA_IB_K19D20A,2446,12817,IBF301,AI in office https://www.coursera.org/learn/copy-of-generative-ai-essentials-for-educators/,,Coursera - FPT,,,,,,,
BBA_IB_K19D20A,2446,12817,IBF301,Ethics of Artificial Intelligence https://www.coursera.org/learn/ethics-of-artificial-intelligence,,Coursera,,,,,,,
BBA_IB_K19D20A,2446,12817,IBF301,AI foundations for everyone https://www.coursera.org/specializations/ai-foundations-for-everyone#courses,,Coursera,,,,,,,
BBA_IB_K19D20A,2446,12552,ITA203c,https://learner.coursera.help/hc/en-us/articles/208280036-Coursera-Code-of-Conduct,,Coursera,,,,,,,
BBA_IB_K19D20A,2446,12552,ITA203c,Ref: Management Information Systems,Kenneth C. Laudon & Jame P. Laudon,,,13th Edition,,,,,
BBA_IB_K19D20A,2446,12552,ITA203c,https://www.coursera.org/learn/is-it-governance,,Coursera,,,,,,,MOOC 01: IS/IT Governance
BBA_IB_K19D20A,2446,12552,ITA203c,https://www.coursera.org/learn/analysis-for-business-systems,,Coursera,,,,,,,MOOC 02: Analysis for Business Systems
BBA_IB_K19D20A,2446,12552,ITA203c,https://www.coursera.org/learn/enterprise-systems,,Coursera,,,,,,,MOOC 03: Enterprise Systems
BBA_IB_K19D20A,2446,12552,ITA203c,https://www.coursera.org/learn/it-infrastructure-and-emerging-trends,,Coursera,,,,,,,MOOC 04: IT Infrastructure and Emerging Trends
BBA_IB_K19D20A,2446,12552,ITA203c,https://www.coursera.org/specializations/information-systems,,Coursera,,,,,,,SPEC: Information? ?Systems
BBA_IB_K19D20A,2446,13140,MAS202,Basic business statistics: concepts and applications,"Mark L.Berenson, David M.Levine, Kathryn A.Szabat, David F.Stephan",Pearson,2019,14th,9781292265032,,,,
BBA_IB_K19D20A,2446,13140,MAS202,'- PowerPoint Slides,,,,,,,,,
BBA_IB_K19D20A,2446,13140,MAS202,'- Instructor's Resource Manual,,,,,,,,,
BBA_IB_K19D20A,2446,13140,MAS202,- Test bank (Test gen and Doc. file),,,,,,,,,
BBA_IB_K19D20A,2446,13598,SCM201,Purchasing and Supply Chain Management,"Robert M. Monczka, Robert B. Handfield, Larry C. Giunipero, James L. Patterson",Cengage Learning,2016,6th,9781285869681,,,,
BBA_IB_K19D20A,2446,13598,SCM201,AE Purchasing and Supply Chain Management,"Robert M. Monczka, Robert B. Handfield, Larry C. Giunipero, James L. Patterson",Cengage,2020,7th,ISBN-13: 9789814922821,,,,Ch?n m?t trong 2 ?n b?n. Uu tiên mua ?n b?n m?i nh?t
BBA_IB_K19D20A,2446,13831,CHN123,Giáo trình chu?n HSK2 (sách bài h?c) + file nghe (sách bài h?c) ????HSK2,1. Ch? biên: Khuong L? Bình2. Biên so?n:Vuong PhongLuu L? BìnhVuong Phuong,Nhà xu?t b?n T?ng h?pThành ph? H? Chí Minh,Quý 1/2023,,978-604-377-567-9,,,,
BBA_IB_K19D20A,2446,13831,CHN123,Giáo trình chu?n HSK2 (sách bài t?p) + file nghe (sách bài t?p) ????HSK2 - ???,1. Ch? biên: Khuong L? Bình2. Biên so?n:Vuong PhongLuu L? BìnhVuong Phuong,Nhà xu?t b?n T?ng h?pThành ph? H? Chí Minh,Quý 1/2021,,978-604-312-147-6,,,,
BBA_IB_K19D20A,2446,13831,CHN123,360 câu dàm tho?i ti?ng Trung Qu?c - t?p 2 ??????360? (2),1. Ch? biên: Mao Duy?t2. Biên so?n:Vuong HiênVuong Di?mTruong Viên Viên,Nhà xu?t b?n T?ng h?pThành ph? H? Chí Minh,Quý 3/2020,,978-604-58-4797-8,,,,
BBA_IB_K19D20A,2446,12375,IBS301m,Foundations of Business Strategy 'https://www.coursera.org/learn/uva-darden-foundations-business-strategy,,,,,,,,,
BBA_IB_K19D20A,2446,12375,IBS301m,Advanced Business Strategy https://www.coursera.org/learn/uva-darden-advanced-business-strategy?specialization=business-strategy,,,,,,,,,
BBA_IB_K19D20A,2446,12375,IBS301m,IBS301m-AI Use Guidelines,,,,,,,,,Available at Schedule sheet
BBA_IB_K19D20A,2446,12377,IEI301,"Export-Import Theory, Practices, and Procedures",Belay Seyoum,Routledge Publisher,2013,3rd,978-0415818384,,,,
BBA_IB_K19D20A,2446,12377,IEI301,Export Import Procedures and Documentation,Donna L Bade,,2015,5th,,,,,
BBA_IB_K19D20A,2446,12377,IEI301,Import Transactions and Customs Compliance,Scott R.Lowden,,2013,,,,,,
BBA_IB_K19D20A,2446,12377,IEI301,The Global Entrepreneur: Taking Your Business International,James F.Foly,,,3rd,,,,,
BBA_IB_K19D20A,2446,12377,IEI301,"Export-Import Theory, Practices, and Procedures",Belay Seyoum,Routledge,2021,4th,ISBN: 9780367896782,,,,Ch?n m?t trong 2 ?n b?n. Uu tiên mua ?n b?n m?i nh?t
BBA_IB_K19D20A,2446,12377,IEI301,AI foundations for everyone https://www.coursera.org/specializations/ai-foundations-for-everyone#courses,,Coursera,,,,,,,
BBA_IB_K19D20A,2446,12377,IEI301,Ethics of Artificial Intelligence https://www.coursera.org/learn/ethics-of-artificial-intelligence,,Coursera,,,,,,,
BBA_IB_K19D20A,2446,12377,IEI301,AI in office https://www.coursera.org/learn/copy-of-generative-ai-essentials-for-educators/,,Coursera - FPT,,,,,,,
BBA_IB_K19D20A,2446,13593,MKT205c,https://www.coursera.org/specializations/international-marketing,,,,,,,,,Spec: International Marketing & Cross Industry Growth Specialization
BBA_IB_K19D20A,2446,13593,MKT205c,https://www.coursera.org/learn/international-vertical-marketing-capstone-project,,Coursera,,,,,,,MOOC 6: International Marketing & Cross Industry Growth Capstone Project
BBA_IB_K19D20A,2446,13593,MKT205c,https://www.coursera.org/learn/international-entertainment-sports-marketing,,Coursera,,,,,,,MOOC 5: International Entertainment and Sports Marketing
BBA_IB_K19D20A,2446,13593,MKT205c,https://www.coursera.org/learn/healthcare-marketing-hospitality-management,,Coursera,,,,,,,MOOC 4: International Hospitality & Healthcare Services Marketing
BBA_IB_K19D20A,2446,13593,MKT205c,https://www.coursera.org/learn/b2b-marketing,,Coursera,,,,,,,MOOC 3: International B2B (Business to Business) Marketing
BBA_IB_K19D20A,2446,13593,MKT205c,https://www.coursera.org/learn/international-marketing-entry-execution,,Coursera,,,,,,,MOOC 2: International Marketing Entry and Execution
BBA_IB_K19D20A,2446,13593,MKT205c,https://www.coursera.org/learn/intro-international-marketing,,Coursera,,,,,,,MOOC 1: Intro to International Marketing
BBA_IB_K19D20A,2446,11499,SSB201,Business communication for success,Anonymous,University of Minnesota i,2015,2th,,,,,https://open.umn.edu/opentextbooks/textbooks/8
BBA_IB_K19D20A,2446,11499,SSB201,Intercultural Business Communication,Lillian H. Chaney & Jeanette S. Martin,Pearson,2014,6th,,,,,https://idoc.pub/documents/intercultural-business-communication-d47evvqe12n2
BBA_IB_K19D20A,2446,11499,SSB201,Design thinking,"Bridget McGraw, Julie Joslin",www.oercommons.org,2017,,,,,,https://www.oercommons.org/authoring/1686-design-thinking-for-11th-graders/view?fbclid=IwAR3Lw-xvHH_52xn9YrGyG-1Z29wzpMJCLoLrZnp_8nVTULqioiwmHkcuq44
BBA_IB_K19D20A,2446,11499,SSB201,'- PowerPoint Slides,,,,,,,,,
BBA_IB_K19D20A,2446,12645,ENW492c,https://www.coursera.org/specializations/academic-english,,Coursera,,,,,,,SPEC: Academic English: Writing Specialization
BBA_IB_K19D20A,2446,12645,ENW492c,https://www.coursera.org/learn/grammar-punctuation,,Coursera,,,,,,,MOOC 01: Grammar and Punctuation
BBA_IB_K19D20A,2446,12645,ENW492c,https://www.coursera.org/learn/getting-started-with-essay-writing,,Coursera,,,,,,,MOOC 02: Getting Started with Essay Writing
BBA_IB_K19D20A,2446,12645,ENW492c,https://www.coursera.org/learn/advanced-writing,,Coursera,,,,,,,MOOC 03: Advanced Writing
BBA_IB_K19D20A,2446,12645,ENW492c,https://www.coursera.org/learn/introduction-to-research-for-essay-writing,,Coursera,,,,,,,MOOC 04: Introduction to Research for Essay Writing
BBA_IB_K19D20A,2446,12645,ENW492c,https://www.coursera.org/learn/academic-writing-capstone,,Coursera,,,,,,,MOOC 05: Project: Writing a Research Paper
